"id","coordinates_wkt","name"
332,"POINT (-80.72090695 -0.935555556)","Manta"
333,"POINT (-79.64269729 0.989444444)","Esmeraldas"
334,"POINT (-13.85883392 28.74138889)","Corralejo"
335,"POINT (-5.310424028 35.89027778)","Ceuta"
336,"POINT (-2.922850412 35.28)","Melilla"
337,"POINT (-17.10512367 28.08805556)","San Sebastian de la Gomera"
338,"POINT (-17.76666667 28.67583333)","Santa Cruz de La Palma"
339,"POINT (24.4746172 58.38111111)","Parnu"
340,"POINT (27.68987044 62.88833333)","Kuopio"
341,"POINT (29.77709069 62.60444444)","Joensuu"
342,"POINT (27.87479388 62.3125)","Varkaus"
343,"POINT (179.309364 -16.81777778)","Savusavu"
344,"POINT (-1.620376914 49.64638889)","Cherbourg"
345,"POINT (-0.326383981 49.19055556)","Caen"
346,"POINT (8.755300353 42.56583333)","Calvi"
347,"POINT (8.900353357 41.67694444)","Propriano"
348,"POINT (-4.108127208 47.98944444)","Quimper"
349,"POINT (-2.756360424 47.64388889)","Vannes"
350,"POINT (138.1194935 9.513333333)","Yap"
351,"POINT (-2.707773852 51.49888889)","Bristol"
352,"POINT (-0.285100118 53.74361111)","Hull"
353,"POINT (-1.590930506 54.965)","Newcastle upon Tyne"
354,"POINT (-1.440930506 54.99444444)","Tyne"
355,"POINT (0.685806832 51.43472222)","Rochester"
356,"POINT (0.007420495 5.631944444)","Tema"
357,"POINT (25.88916372 40.84138889)","Alexandroupolis"
358,"POINT (27.28987044 36.89444444)","Kos"
359,"POINT (25.15070671 37.08777778)","Paros"
360,"POINT (26.96666667 37.75444444)","Samos"
361,"POINT (-45.23810365 60.13972222)","Nanortalik"
362,"POINT (-69.23510012 77.46694444)","Qaanaaq"
363,"POINT (-57.52179034 6.237777778)","New Amsterdam"
364,"POINT (-86.75689046 15.79388889)","La Ceiba"
365,"POINT (-87.45583039 15.78388889)","Tela"
366,"POINT (14.45759717 44.53833333)","Mali Losinj"
367,"POINT (-72.53598351 18.23166667)","Jacmel"
368,"POINT (-74.10706714 18.64361111)","Jeremie"
369,"POINT (131.0203769 -1.3075)","Sorong"
370,"POINT (97.14287397 5.166666667)","Lhokseumawe"
371,"POINT (117.654947 4.145555556)","Nunukan"
372,"POINT (105.3070671 -5.460277778)","Panjang"
373,"POINT (106.8904005 -6.101388889)","Tanjung Priok"
374,"POINT (74.80742049 12.92694444)","Mangalore"
375,"POINT (69.58739694 21.63944444)","Porbandar"
376,"POINT (73.27179034 17.00194444)","Ratnagiri"
377,"POINT (-9.456183746 51.68055556)","Bantry"
378,"POINT (-6.456183746 52.34111111)","Wexford"
379,"POINT (48.18545347 30.4325)","Khorramshahr"
380,"POINT (-14.28651355 64.66055556)","Djupivogur"
381,"POINT (-14.00883392 64.92972222)","Faskrudsfjordur"
382,"POINT (-15.94146054 66.45638889)","Raufarhofn"
383,"POINT (11.93792697 36.83333333)","Pantelleria"
384,"POINT (15.09093051 37.49583333)","Catania"
385,"POINT (12.23545347 41.75583333)","Fiumicino"
386,"POINT (12.6024735 35.49916667)","Lampedusa"
387,"POINT (15.92532391 41.62416667)","Manfredonia"
388,"POINT (-77.10671378 18.41027778)","Ocho Rios"
389,"POINT (-76.45176678 18.18111111)","Port Antonio"
390,"POINT (130.9856302 30.73166667)","Nishinoomote"
391,"POINT (140.0398704 39.76222222)","Akita"
392,"POINT (141.5235571 40.54583333)","Hachinohe"
393,"POINT (124.1512367 24.33555556)","Ishigaki"
394,"POINT (132.693404 33.85527778)","Matsuyama"
395,"POINT (139.8035336 38.93944444)","Sakata"
396,"POINT (134.0533569 34.35527778)","Takamatsu"
397,"POINT (141.6891637 45.41055556)","Wakkanai"
398,"POINT (134.187927 35.54027778)","Tottori"
399,"POINT (40.90159011 -2.268055556)","Lamu"
400,"POINT (126.5881037 35.95972222)","Gunsan"
401,"POINT (129.4028269 36.01972222)","Pohang"
402,"POINT (129.1882803 37.43361111)","Samcheok"
403,"POINT (128.5923439 38.20694444)","Sokcho"
404,"POINT (129.3856302 35.48777778)","Ulsan"
405,"POINT (35.81914016 34.45527778)","Tripoli"
406,"POINT (-10.05265018 5.858055556)","Buchanan"
407,"POINT (13.19358068 32.9075)","Tripoli"
408,"POINT (-9.634923439 30.42388889)","Agadir"
409,"POINT (-3.919846879 35.24777778)","Al Hoceima"
410,"POINT (-15.93386337 23.68222222)","Dakhla"
411,"POINT (50.2762073 -14.9)","Antalaha"
412,"POINT (48.01878681 -22.1425)","Manakara"
413,"POINT (48.3262073 -21.24916667)","Mananjary"
414,"POINT (44.27196702 -20.28861111)","Morondava"
415,"POINT (49.42196702 -18.15722222)","Toamasina"
416,"POINT (-111.3368669 26.01472222)","Loreto"
417,"POINT (-90.59040047 19.8125)","Campeche"
418,"POINT (-86.95742049 20.495)","Cozumel"
419,"POINT (-110.310424 24.16944444)","La Paz"
420,"POINT (-87.06772674 20.62444444)","Playa del Carmen"
421,"POINT (-113.5423439 31.30611111)","Puerto Penasco"
422,"POINT (-105.2409305 20.65916667)","Puerto Vallarta"
423,"POINT (-94.41896349 18.12972222)","Coatzacoalcos"
424,"POINT (94.72338045 16.77972222)","Bassein"
425,"POINT (40.6671967 -14.54138889)","Nacala"
426,"POINT (40.48492344 -12.96666667)","Pemba"
427,"POINT (36.87709069 -17.88166667)","Quelimane"
428,"POINT (57.48987044 -20.14805556)","Port Louis"
429,"POINT (102.1233804 2.248888889)","Malacca"
430,"POINT (101.7886337 2.536111111)","Port Dickson"
431,"POINT (14.50053004 -22.94055556)","Walvis Bay"
432,"POINT (8.316843345 4.986388889)","Calabar"
433,"POINT (6.586866902 53.21833333)","Groningen"
434,"POINT (23.23704358 69.96777778)","Alta"
435,"POINT (16.1237338 69.32416667)","Andenes"
436,"POINT (12.20194346 65.4725)","Bronnoysund"
437,"POINT (6.789870436 58.08861111)","Farsund"
438,"POINT (5.002826855 61.59777778)","Floro"
439,"POINT (7.986336867 58.14194444)","Kristiansand"
440,"POINT (11.49004711 64.46416667)","Namsos"
441,"POINT (11.22691402 64.86055556)","Rorvik"
442,"POINT (12.61878681 66.02166667)","Sandnessjoen"
443,"POINT (14.90989399 68.56833333)","Stokmarknes"
444,"POINT (5.501413428 59.78)","Stord"
445,"POINT (174.004417 -41.28555556)","Picton"
446,"POINT (170.5193168 -45.87583333)","Dunedin"
447,"POINT (54.00318021 16.94166667)","Salalah"
448,"POINT (62.33863369 25.11222222)","Gwadar"
449,"POINT (-82.23757362 9.34)","Bocas del Toro"
450,"POINT (-78.15106007 8.413611111)","La Palma"
451,"POINT (-78.60777385 -9.076666667)","Chimbote"
452,"POINT (-71.34375736 -17.64694444)","Ilo"
453,"POINT (-72.01024735 -17.03111111)","Mollendo"
454,"POINT (-76.22196702 -13.73305556)","Pisco"
455,"POINT (123.3081272 9.311944444)","Dumaguete"
456,"POINT (125.1542403 6.086111111)","General Santos"
457,"POINT (154.671967 -5.431944444)","Buka"
458,"POINT (143.2065371 -9.068333333)","Daru"
459,"POINT (146.9847468 -6.741111111)","Lae"
460,"POINT (145.8003534 -5.213333333)","Madang"
461,"POINT (18.66878681 54.39333333)","Gdansk"
462,"POINT (18.53845701 54.53333333)","Gdynia"
463,"POINT (-67.15706714 18.42944444)","Aguadilla"
464,"POINT (-66.70035336 18.48138889)","Arecibo"
465,"POINT (-67.15689046 18.21388889)","Mayaguez"
466,"POINT (-7.926030624 37.01055556)","Faro"
467,"POINT (-151.75 -16.51666667)","Bora-Bora"
468,"POINT (28.81684335 45.19111111)","Tulcea"
469,"POINT (61.55918728 69.75611111)","Amderma"
470,"POINT (177.5386337 64.74416667)","Anadyr"
471,"POINT (170.2770907 69.70166667)","Pevek"
472,"POINT (-16.07196702 14.12944444)","Kaolack"
473,"POINT (-16.26808009 12.58972222)","Ziguinchor"
474,"POINT (15.6237338 78.22611111)","Longyearbyen"
475,"POINT (156.8388104 -8.101388889)","Gizo"
476,"POINT (157.7260306 -8.499722222)","Viru Harbour"
477,"POINT (42.54110718 -0.374166667)","Kismayu"
478,"POINT (13.52020024 59.37527778)","Karlstad"
479,"POINT (13.15936396 58.50916667)","Lidkoping"
480,"POINT (21.25176678 64.67833333)","Skelleftea"
481,"POINT (20.26772674 63.81666667)","Umea"
